id,cantor,título,letra
25,Raphaela Santos,Seu Mentiroso,"Pra que eu fui prestar
Se homem só gosta de mulher que não presta
Mulher safada pra você é a certa
Tu merece um chifre bem nessa testa

Pra que eu fui amar
Me entregar a esse amor vagabundo
Eu era tua e tu de todo mundo
Sai daqui com seu beijo sujo

Pra que prometer o céu e depois me jogar no chão?
Pra que prometer amor, se era só ilusão?

Seu mentiroso
Cachorro sem coração
Tu nunca me amou
Nunca foi amor
Era só tesão
Era só colchão

Seu mentiroso
Cachorro sem coração
Tu nunca me amou
Nunca foi amor
Era só tesão
Era só colchão

Pra que eu fui prestar
Se homem só gosta de mulher que não presta
Mulher safada pra você é a certa
Tu merece um chifre bem nessa testa

Pra que eu fui amar
Me entregar a esse amor vagabundo
Eu era tua e tu de todo mundo
Sai daqui com seu beijo sujo
Pra que prometer o céu e depois me jogar no chão?
Pra que prometer amor, se era só ilusão?

Seu mentiroso
Cachorro sem coração
Tu nunca me amou
Nunca foi amor
Era só tesão
Era só colchão

Seu mentiroso
Cachorro sem coração
Tu nunca me amou
Nunca foi amor
Era só tesão
Era só colchão

Seu mentiroso
Cachorro sem coração
Tu nunca me amou
Nunca foi amor
Era só tesão
Era só colchão

Seu mentiroso
Cachorro sem coração
Tu nunca me amou
Nunca foi amor
Era só tesão
Era só colchão"
26,Mc Roginho,Preta do Cabelo Cacheado,"Preta do cabelo cacheado, da cor do pecado
Hoje eu acordei meio bolado
E ainda estou no quarto, olhando o seu retrato
Lembrando do nosso amor do passado

Beijos e abraços, carícias e amassos
Foi muito lindo, tenho que contar um relato
Nós dois pelados dentro do carro
Com o vidro fechado e o som tocando baixo

De lado, de quatro
Vai amorzinho, sente a fúria do meu amasso
De lado, de quatro
É tu deixando e o pai te dando aquele trato

Beijos e abraços, carícias e amassos
Foi muito lindo, tenho que contar um relato
Nós dois pelados dentro do carro
Com o vidro fechado e o som tocando baixo

De lado, de quatro
Vai amorzinho, sente a fúria do meu amasso
De lado, de quatro
É tu deixando e o pai te dando aquele trato
Preta do cabelo cacheado, da cor do pecado
Hoje eu acordei meio bolado
E ainda estou no quarto, olhando o seu retrato
Lembrando do nosso amor do passado

Beijos e abraços, carícias e amassos
Foi muito lindo, tenho que contar um relato
Nós dois pelados dentro do carro
Com o vidro fechado e o som tocando baixo

De lado, de quatro
Vai amorzinho, sente a fúria do meu amasso
De lado, de quatro
É tu deixando e o pai te dando aquele trato

Beijos e abraços, carícias e amassos
Foi muito lindo, tenho que contar um relato
Nós dois pelados dentro do carro
Com o vidro fechado e o som tocando baixo

De lado, de quatro
Vai amorzinho, sente a fúria do meu amasso
De lado, de quatro
É tu deixando e o pai te dando aquele trato"
27,Mc Roginho,Dei Fuga,"Faz uma conta que eu te sigo
Tava querendo e hoje eu vou sair contigo

Tranquilo é tudo no sigilo
Também namoro então tem que ser escondido
Se arruma que eu escolho o pico
Fui eu que te liguei de número desconhecido

Abaixa o banco e sobe o vidro
Menina maluca, viciada no perigo
E tá pedindo

Eu dei fuga
Quando quer prazer liga pra mim na madruga
Pede com carinho que eu satisfaço as loucuras
Gosta de se envolver
E toda noite me usa
Me abusa

Eu dei fuga
Quando quer prazer liga pra mim na madruga
Pede com carrinho que eu satisfaço as loucuras
Gosta de se envolver
E toda noite me usa
Me abusa"
28,Mc Roginho,Bebendo Pra Te Esquecer,"Já faz um tempo
Que eu tô bebendo
Tentando te esquecer

Mas tá tão difícil
Tá doendo aqui dentro
Meu coração tá sofrendo

Mas tenta me esquecer
Eu sei que vai doer
Procure em outros braços
É isso que eu vou fazer
Mas depois disso tudo
Ainda sofro muito

Que eu tô bebendo
Pra te esquecer
Mas toda vez que bebo
Eu penso em você

Tá doendo demais
Volta vai, volta
Volta, volta, volta vai

Que eu tô bebendo
Pra te esquecer
Mas toda vez que bebo
Eu penso em você

Tá doendo demais
Volta vai, volta
Volta, volta, volta vai"
29,MC Thayk,Cenas de Amor,"Eu só quero hoje à noite
Você na minha cama
Às vezes eu estou no meu mundo, tu me acalma, me ganha
Vamo acabar com esse drama, apagar essa chama
Deixa o teu passado lá fora quero viver o agora

Esse travesseiro, já viu muita cena de amor
Quantas vezes você relaxou?
Fizemos cenas de amor
O jeito que tu me tocou, meu corpo se arrepiou
Lembro de tudo que rolou

Não quero viver só uma noite
Nem mesmo viver só o agora
Quero viver uns planos e que todos saibam que
Ficamos toda hora

Não adianta só se arrepiar
Se quando sai, com outras quer se enrolar
Prometa mudar e faça que dure a gente
Se não aqui acaba o nosso pra sempre

Esse travesseiro, já viu muita cena de amor
Quantas vezes você relaxou?
Fizemos cenas de amor
O jeito que tu me tocou, meu corpo se arrepiou
Lembro de tudo que rolou

Não quero viver só uma noite
Nem mesmo viver só o agora
Quantas vezes você relaxou?
Fizemos cenas de amor
O jeito que tu me tocou
Meu corpo se arrepiou
Lembro de tudo que rolou"
30,MC Thayk,Perigos Noturnos,"(É o Thayk, um maloqueiro apaixonado)

Poste apagado, ruas escuras
Lá vem ela, iluminando a favela
Amoleceu meu coração de pedra, ah

Ah, essas ruas me deixou tão frio
Mas você mudou o meu perfil
Hoje vou te trazer uma flor
Os olhos vermelhos é a cor do amor, amor

Eu saí dessa vida louca
Virei dono da tua boca
Me falou que quer um lance profundo
Viver longe dos perigos noturnos

Eu saí dessa vida louca
Virei dono da tua boca
Me falou que quer um lance profundo
Viver longe dos perigos noturnos

Poste apagado, ruas escuras
Lá vem ela, iluminando a favela
Amoleceu meu coração de pedra, ah

Ah, essas ruas me deixou tão frio
Mas você mudou o meu perfil
Hoje vou te trazer uma flor
Os olhos vermelhos é a cor do amor, amor

Eu saí dessa vida louca
Virei dono da tua boca
Me falou que quer um lance profundo
Viver longe dos perigos noturnos

Eu saí dessa vida louca
Virei dono da tua boca
Me falou que quer um lance profundo
Viver longe dos perigos noturnos
Eu saí dessa vida louca
Virei dono da tua boca
Me falou que quer um lance profundo
Viver longe dos perigos noturnos"
31,MC Thayk,Baratino,"Altas ideinha já rolou
Entre nós dois só você não quer falar
Sei que todo mundo se ligou
Só você que não quer enxergar

Baratino com a colega
Eu te encontrei no brega
Geral perguntando se tu tá comigo
Na moral paguei de doido
Te perguntaram de novo
E você respondeu que era só amigo

Para de fingir e diz logo que sou teu
Para de mentir e diz que tu é só minha
Pensa bem antes que eu siga meu caminho
Pra viver de ilusão é melhor tá sozinho

Para de mentir e diz logo que sou teu
Para de fingir e diz que tu é só minha
Pensa bem antes que eu sigo meu caminho, pra viver de ilusão é melhor tá sozinho

(Para de mentir e diz logo que sou teu
Para de fingir e diz que tu é só minha
Pensa bem antes que eu sigo meu caminho, pra viver de ilusão é melhor tá sozinho)

Para de mentir e diz logo que sou teu
Para de fingir e diz que tu é só minha
Pensa bem antes que eu sigo meu caminho, pra viver de ilusão é melhor tá sozinho"
32,Noara Marques,Fala Que Não Ama,"Pra todo mundo cê fala que eu já sou passado
Mas quando tá sem roupa
No meu quarto é ao contrário

Diz pros amigos que eu fui o seu maior erro
Mas não fala isso com a língua no meu beijo
Eu quero ver postar suas fotos chorando
Pedindo pra voltar, dizendo eu te amo

Fala que não ama
Mas bebe me chama
Fala que me odeia
Mas quer minha cama
Fala que eu sou a pessoa errada
Mas liga pra errar gostoso toda madrugada"
33,Banda Sentimentos,Clichê,"Pode parecer clichê
Mas amor eu e você como a lua é o mar
Tem que acontecer (tem que acontecer)
Se a gente se perder
Eu não quero nem saber
Esse amor tá no ar, tem que acontecer (tem que acontecer)
Vem que igual nós dois não tem
E você faz tão bem, faz tão bem
Que eu tô querendo te roubar um beijo
E, você é louco por mim quando a gente se encontra é assim

Não tem fim
Não tem fim
Esse é o nosso desejo
Quando a noite chegar vou pegar você
Se prepara que hoje eu quero fazer
Só pra te enlouquecer
Só pra te enlouquecer
Quando a noite chegar vou pegar você
Se prepara que hoje eu quero fazer
Só pra te enlouquecer
Só pra satisfazer
Meu ego

Pode parecer clichê
Mas amor eu e você como a lua é o mar
Tem que acontecer (tem que acontecer)
Se a gente se perder
Eu não quero nem saber
Esse amor tá no ar, tem que acontecer
E vai acontecer
Então vem que e igual nós dois não tem
E você faz tão bem
Faz tão bem
Que eu tô querendo te roubar um beijo
E, você é doida por mim
Quando a gente se encontra
É assim
Não tem fim, não tem fim
Esse é o nosso desejo
Quando a noite chegar vou pegar você
Se prepara que hoje eu quero fazer
Só pra te enlouquecer
Só pra te enlouquecer
Quando a noite chegar vou pegar você
Se prepara que hoje eu quero fazer
Só pra te enlouquecer
Só pra satisfazer
Meu ego
Eu vou satisfazer
Meu ego
Deixa eu satisfazer
Meu ego
Eu vou pegar você
Meu ego"
34,Banda Playback,Não Era Pra Gostar de Mim,"Me diz o que aconteceu
O que eu te fiz pra me tratar assim?
Hoje eu ouvi de um amigo meu
Que você estava a sofrer

Eu te olhei de canto, te observei chorando
Não imaginava que você ia de mim gostar
Eu não tentei fazer com que me amasse

Mas não vai mais rolar

O meu coração não tem espaço pra amar
Mas eu não quero te fazer chorar
Não era pra gostar de mim
(Gostar de mim)
Gostar de mim

Abre os olhos, sei tudo pode mudar
Espera o tempo ele vai te mostrar
Não era pra gostar de mim
(Gostar de mim)
Gostar de mim

Por que você não me atendeu?
Eu te liguei mas você não quis saber
Eu me preocupo com você
Não sou teu bem, mas não te quero mal

Eu te olhei de canto te observei chorando
Não imaginava que você ia de mim gostar
Eu não tentei fazer com que me amasse

Mas não vai mais rolar

O meu coração não tem espaço pra amar
Mas eu não quero te fazer chorar
Não era pra gostar de mim
(Gostar de mim)
Gostar de mim
Abre os olhos sei tudo pode mudar
Espera o tempo ele vai te mostrar
Não era pra gostar de mim
(Gostar de mim)
Gostar de mim

Eu não fiz por mal não quis brincar
Com teu sentimento
Não quero brincar com o teu coração
Então deixa o tempo dizer

(O meu coração não tem espaço pra amar
Mas eu não quero te fazer chorar)
Não era pra gostar de mim
(Gostar de mim)
Gostar de mim

Abre os olhos sei tudo pode mudar
Espera o tempo ele vai te mostrar
Não era pra gostar de mim
(Gostar de mim)
Gostar de mim

Oh, não não não
Não era pra gostar de mim
(Gostar de mim)
Gostar de mim"
35,Priscila Senna,Sorte,"Tenho sorte de conhecer
Sorte de amar você
Você é puro como o ar
Que eu preciso pra respirar

Minha vida, meu amor
Eu tenho sorte, você chegou
Você é o presente que Deus me deu
Te amo tanto, anjo meu

Tenho sorte de te conhecer
Sorte de poder amar você
Sorte de ficar ao lado teu

Sorte de beijar a sua boca
Sorte de tirar a sua roupa
Sorte de acordar ao lado teu

Eu não quero te perder
Dou minha vida por você
Agradeço por te ter
Eu sempre vou amar você

Tudo que eu vejo lembra você
O teu sorriso me faz viver
Viver contigo é bom demais
Que sorte eu tenho, meu rapaz

Tenho sorte de te conhecer
Sorte de poder amar você
Sorte de ficar ao lado teu

Sorte de beijar a sua boca
Sorte de tirar a sua roupa
Sorte de acordar ao lado teu

Quero o mundo ao lado teu
Dividir os sonhos meus
Você não vai se arrepender
Eu prometo pra você
Que te amarei
Que cuidarei desse nosso amor

Tenho sorte de te conhecer
Sorte de poder amar você
Sorte de ficar ao lado teu

Sorte de beijar a sua boca
Sorte de tirar a sua roupa
Sorte de acordar ao lado teu"
36,Banda Sedutora,Apaga a Luz e Vem Deitar,"Pra quê brigar, se a gente nunca larga mesmo
Pra quê todo esse desespero, a gente sabe que na hora H
Você desfaz as malas e tudo volta pro lugar
Limpa esse rosto, engole o choro, apaga a luz e vem deitar
Que o melhor que a gente faz é se amar

Apaga a luz e vem deitar, desconta a raiva na minha boca
Você sabe no final das contas o resultado é mais amor e menos roupa
Apaga a luz e vem deitar, a gente faz amor a noite toda
Parar logo com essa briga boba, com mais amor e menos roupa"
37,Banda Sedutora,Bateu a Química,"Me olhou, te olhei
Paquerou, paquerei, daí então bateu a química
Me beijou, gamei
Me entreguei em teus braços, já estava perdida
Mas, no começo tudo é flores, aí veio o ciúmes e a gente brigou
Você me pediu um tempo, mas nem o tempo acaba uma história de amor

Estou sofrendo por amor
Estou com raiva desse amor, estou chorando por amor
Mas, é esse amor que eu quero aqui, é você que eu quero pra mim

Me olhou, te olhei
Paquerou, paquerei, daí então bateu a química
Me beijou, gamei
Me entreguei em teus braços, já estava perdida
Mas, no começo tudo é flores, aí vem o ciúmes e a gente brigou
Você me pediu um tempo mas, nem o tempo acaba uma história de amor

Estou sofrendo por amor
Estou com raiva desse amor, estou chorando por amor
Mas, é esse amor que eu quero aqui, é você que eu quero pra mim

Mas, no começo tudo é flores, aí vem o ciúmes e a gente brigou
Você me pediu um tempo mas, nem o tempo acaba uma história de amor

Estou sofrendo por amor, estou com raiva desse amor, estou chorando por amor
Mas, é esse amor que eu quero aqui, é você que eu quero pra mim

Me olhou, te olhei
Paquerou, paquerei, daí então bateu a química"
38,Banda Sedutora,Mas Não Acabou,"A gente nunca vai deixar de se amar
Você vai ser pra sempre o meu grande amor
É só uma fase, mas vamos superar
O nosso amor apenas só começou
Dá um tempo só pra a gente pensar
Mas não me esquece nesse tempo, amor
Lembra que você vai ter que voltar
Pra colher os frutos que a gente plantou

Não chora quando a saudade for te procurar
Não importa a hora, nem lugar, me liga que eu vou te encontrar
Ai você vai ver, que não há distância que separe eu e você

O nosso amor não vai acabar assim, não, não, não
Você me ama e está marcado em mim, no meu coração
A gente briga, mas casal é assim, meu amor
Sempre rola essas fases ruins, mas não acabou
Mas não acabou, mas não acabou"
39,Banda Sedutora,Nossa Preferida,"Sempre que você quiser lembrar de mim
Olha bem no fundo do seu coração
Pegue o CD na prateleira
Põe a nossa preferida sertaneja

Sempre que você quiser lembrar de mim
Deixe tomar conta do ambiente a emoção
Olhe para nossa foto em paris
Do tempo que a gente não sabia e era feliz

Nunca se esqueça, eu também lembro de você
Num comercial, como um modelo na TV
De toda sua beleza, que era estonteante
Da cor da sua pele, dos seus cabelos grandes

E se quiser voltar pra reviver tudo outra vez
Você tem meu telefone, o endereço e talvez
Mais cedo ou mais tarde a gente se encontra na rua
E aí você vai ver que a vontade é minha e sua

Não queira barrar o que é pra acontecer
Só Deus, eu e você vamos saber
Quando a gente se encontrar
E bater à realidade, o que vai ser?

Não queira pensar em dizer não
Seu corpo frio eu esquento no colchão
É só querer que eu tô disposta a te trazer felicidade
E dar luz à sua escuridão"
40,Banda Sedutora,Odeio Amar Você,"Você tem o que eu preciso
Mas com esse seu jeitinho me tira do sério
Gosta de brincar comigo
Me falando segredinhos depois faz mistério

Dá pra parar de me enrolar
Ou você me ama ou para de brincar
Eu não sou mais criança pra ficar com esse jogo
Já tô ficando boba e você tá ficando louco

Mas eu admito, eu tenho que dizer
Garoto eu odeio, eu odeio amar você
Mas eu admito, eu tenho que dizer
Garoto eu odeio, eu odeio amar você

E o que é que eu posso fazer?
Se eu amo você
E o que é que eu posso fazer?
Se de um jeito ou de outro eu preciso ter você
E o que é que eu posso fazer?
Se eu amo você
E o que é que eu posso fazer?
Se de um jeito ou de outro eu preciso ter você"
41,Banda Sedutora,Ele Sim Me Ama,"Dessa vez me libertei
Não preciso mais sofrer
Já passou o tempo que eu amei, amei você

Não foi como desejou
Você vai se surpreender
Encontrei alguém melhor que você

Que não me proíbe de falar com ninguém
Até a roupa uso a que me faz bem
Ele tem tudo que você não tem

Ele sim me ama
Tem o que eu preciso
Me dá prazer na cama
Depois fala comigo
Estou realizada
Nosso amor nasceu
E agora você chora pelo que perdeu
Sinto muito é adeus
É adeus, é adeus"
42,Raphaela Santos,Teu Amigo Cuidou,"Eu lembro que quando me deixou
Eu bebi por você
O coração 'tava sofrendo
Não parava de doer
Eu me humilhei demais
Correndo atrás de você
Porque seu beijo vale a pena
Quem não vale é você
E agora que eu superei
Se repete a cena outra vez
Você me pede pra voltar
Dizendo que vai mudar
Amor não te quero mais
É tarde pra se arrepender
Enquanto tu errou comigo
O teu amigo cuidou por você
Amor não te quero mais
É tarde pra se arrepender
Enquanto tu errou comigo
O teu amigo, ele
Ele cuidou (cuidou, cuidou, cuidou)
Ele cuidou
Tá lindo Fortaleza, eu quero ouvir só vocês
Ele cuidou, cuidou, cuidou
Ele cuidou, cuidou, cuidou
Ele cuidou
Muito melhor que você

E agora que eu superei
Se repete a cena outra vez
Você me pede pra voltar, e o que?
Dizendo que vai mudar
Amor não te quero mais
É tarde pra se arrepender
Enquanto tu errou comigo
O teu amigo cuidou por você
Amor não te quero mais
É tarde pra se arrepender
Enquanto tu errou comigo
O teu amigo, ele
Ele cuidou, cuidou, cuidou
Ele cuidou, cuidou, cuidou
Ele cuidou
Cuidou, muito melhor que você
Muito melhor que você"
43,Mc Tocha,Será,"Será?
Que as brigas vão continuar?
Será?
Que tudo vai passar?
Onde isso vai parar?

Será que você vai continuar?
Por ai a me difamar?
Dessa vez não vai rolar

Eu tô na duvida se eu faço isso mesmo
Meu coração tá vivendo um pesadelo
Será que é isso que eu mereço mesmo?
Será que é isso que eu mereço mesmo?

Ahh, que mágoa do meu quarto e do meu cobertor
A cama tá do jeito que você deixou
Não volto pra você mas apareço
Qualquer dia pra fazer amor

Ahh, que mágoa do meu quarto e do meu cobertor
A cama tá do jeito que você deixou
Não volto pra você mas apareço
Qualquer dia pra fazer amor

Eu tô na duvida se eu faço isso mesmo
Meu coração tá vivendo um pesadelo
Será que é isso que eu mereço mesmo?
Será que é isso que eu mereço mesmo?

Ahh, que mágoa do meu quarto e do meu cobertor
A cama tá do jeito que você deixou
Não volto pra você mas apareço
Qualquer dia pra fazer amor

Ahh, que mágoa do meu quarto e do meu cobertor
A cama tá do jeito que você deixou
Não volto pra você mas apareço
Qualquer dia pra fazer amor"
44,Valquiria Santana,Sempre Volto,"Eu já perdi as contas das chances que eu te dei
Você nunca mudou, mas, por nós, eu tentei
E sempre volto, volto, pra ti volto, volto
Eu sempre volto, volto, pra ti volto, volto (pra ti)

Será que um dia vai mudar?
Eu nunca deixarei de te amar
Não importa o que vão falar
Eu nunca deixarei de te amar

Sempre volto, volto, pra ti volto, volto
Eu sempre volto, volto, pra ti volto, volto

Sempre volto, volto, pra ti volto, volto
Eu sempre volto, volto, pra ti volto, volto (pra ti)

Será que um dia vai mudar?
Eu nunca deixarei de te amar
Não importa o que vão falar
Eu nunca deixarei de te amar

Sempre volto, volto, pra ti volto, volto
Eu sempre volto, volto, pra ti volto, volto"
45,Ester Moraes,Frase Decorada,"Desculpa por chegar e falar assim do nada
É que eu tô com toda frase decorada
Queria te dizer que não aguento mais
Ficar distante assim já não me satisfaz

Sinto falta do teu toque carinhoso
Me alucina esse seu jeito tão manhoso
Sei que pros outros pode parecer clichê
Mais pra ser feliz por mim só basta ter você

Se eu te machuquei por favor me perdoa
A traição na hora foi uma coisa boa
Se eu soubesse tudo que ia causar
Eu pensaria só pra não te machucar

Eu sei que agora deve ser bem tarde
E que de mim você já não sente saudade
Por um momento achei que ia melhorar
Mais na tua ausência eu só consigo chorar

Se eu te machuquei por favor me perdoa
A traição na hora foi uma coisa boa
Se eu soubesse tudo que ia causar
Eu pensaria só pra não te machucar

Eu sei que agora deve ser bem tarde
E que de mim você já não sente saudades
Por um momento achei que ia melhorar
Mais na tua ausência eu só consigo chorar

Desculpe por chegar e falar assim do nada
É que eu tô com toda frase decorada
Queria te dizer que não aguento mais
Ficar distante assim já não me satisfaz

Eu sinto falta do teu toque carinhoso
Me alucina esse teu jeito tão manhoso
Sei que pros outros pode parecer clichê
Mais pra ser feliz por mim só basta ter você

Se eu te machuquei por favor me perdoa
A traição na hora foi uma coisa boa
Se eu soubesse tudo que ia causar
Eu pensaria só pra não te machucar

Eu sei que agora deve ser bem tarde
E que de mim você já não sente saudade
Por um momento achei que ia melhorar
Mais na tua ausência eu só consigo chorar

Se eu te machuquei por favor me perdoa
A traição na hora foi uma coisa boa
Se eu soubesse tudo que ia causar
Eu pensaria só pra não te machucar

Eu sei que agora deve ser bem tarde
E que de mim você já não sente saudade
Por um momento achei que ia melhorar
Mais na tua ausência eu só consigo chorar"
46,Banda Sentimentos,Lençol,"Hoje eu fiz diferente
Luzinha vermelha no teto pra você dançar
A gente acende
E deixa a fumaça dá o clima pra gente ficar
Só nós, a sós, tua voz
Sem mais, quer mais

O meu lençol tá viciado no teu corpo
O jeito que cê senta, nossa, como eu fico louco
Tô com saudade
Aí que maldade
Pura sacanagem, muita sacanagem

O meu lençol tá viciado no teu corpo
O jeito que eu sento eu sei que te deixo louco
Tô com saudade
Aí que maldade
Muita sacanagem, pura sacanagem"
47,Lekinho Campos,Some,"É diferente o jeito que ela me olha
É excitante o jeito que ela rebola
Eu não entendo porque me deixou assim
Tava pensando que você nasceu pra mim

E a cada passo que eu dou sem tá com ela
Me bate a falta do nosso amor de novela
Sempre me pego debruçado na janela
Ouvindo a voz e sentindo o cheirinho dela

Some (me sinto só)
Me esquece, some (não me abandona)
Você não foi homem (sinto saudade)
Melhor parar (da gente na cama)

Some, (me sinto só)
Me esquece, some (não me abandona)
Você não foi homem (Sinto saudade)
É melhor parar (da gente na cama)

E o teu beijo, o teu cheiro
O teu corpo suado
Não vai mais sentir o meu
Eu sinto a falta do teu toque
Do abraçado apertado
Mas foi você quem perdeu

Mas minha vida é ficar junto de ti
Que eu te amo é verdade, eu não menti
Eu não consigo mais viver sem ter você aqui

Some (me sinto só)
Me esquece, some (não me abandona)
Você não foi homem (sinto saudade)
Melhor parar (da gente na cama)

Some, (me sinto só)
Me esquece, some (não me abandona)
Você não foi homem (Sinto saudade)
É melhor parar (da gente na cama)

E o teu beijo, o teu cheiro
O teu corpo suado
Não vai mais sentir o meu
Eu sinto a falta do teu toque
Do abraçado apertado
Mas foi você quem perdeu

Mas minha vida é ficar junto de ti
Que eu te amo é verdade, eu não menti
Eu não consigo mais viver sem ter você aqui

Some (me sinto só)
Me esquece, some (não me abandona)
Você não foi homem (sinto saudade)
É melhor parar (da gente na cama)

Some, (me sinto só)
Me esquece, some (não me abandona)
Você não foi homem (Sinto saudade)
Melhor parar (da gente na cama)"
48,MC Barão,Frases Decoradas,"Os cinco minutos mais longos de todo minha vida aquela ligação
Você falando quero o fim da nossa relação
E aquelas coisas tão lindas que todo esse tempo você me falava
Não quero acreditar que eram só frases decoradas

Não fala assim, o meu amor foi real
Só que a nossa história passou do ponto final
Nada do que eu falei, era frase decorada
Também pensei que era pra sempre
Mais pra sempre, sempre acaba
Então não chora, vai ser melhor assim

Vai ser melhor assim só se for pra você
Porque pra mim melhor é ficar com você
Quer que eu desenhe, ou será que deu pra você entender

Prefiro terminar do que te iludir
Pois infeliz não posso te fazer feliz
Quando essas lágrimas secarem não vou está mais aqui
Tchau vou embora, seja feliz"
49,Banda a Favorita,Melhor Ficar,"E briga, xinga e joga tudo fora
Me deixa num segundo vai embora
Reclama sobre coisas sem sentido
Faz coisas que não faz nem com o inimigo

Mas depois nem parece que brigou
E no fim, tá nós dois fazendo amor

Se não consegue viver sem mim
Então porque me mandas embora
Sabe que depois vai ligar
Pedindo pra voltar
Se não se garante porque
Manda eu me afastar de você
Sabe que depois vai chorar
Querendo me amar

Melhor ficar"
50,Banda a Favorita,Foi Logo Amor,"A Favorita

Você me fez voar
Sem sair do chão
Seu cheiro invadiu meu ar
O coração foi a mil

Foi logo amor
Quando te beijei
Quando te amei
Gamei

Foi logo amor
Quando te beijei
Quando te amei
Gamei

Foi logo amor
Foi logo amor
Foi logo amor

Quando te beijei
Quando te amei
Gamei
Foi logo amor

Foi logo amor"